episode 1 of 100000 complete,  explore val = 0.01, episode reward = 134.0, ave reward = 134.0, sim time = 0.565, fit time = 0.742, episode_time = 1.307
episode 29 of 100000 complete,  explore val = 0.01, episode reward = -163.0, ave reward = -163.0, sim time = 0.293, fit time = 0.0, episode_time = 0.293
episode 30 of 100000 complete,  explore val = 0.01, episode reward = 302.3, ave reward = 302.3, sim time = 0.34, fit time = 0.0, episode_time = 0.34
episode 31 of 100000 complete,  explore val = 0.01, episode reward = 167.5, ave reward = 167.5, sim time = 0.277, fit time = 6.422, episode_time = 6.699
episode 32 of 100000 complete,  explore val = 0.01, episode reward = 115.9, ave reward = 115.9, sim time = 0.25, fit time = 0.0, episode_time = 0.251
episode 33 of 100000 complete,  explore val = 0.01, episode reward = -132.1, ave reward = -132.1, sim time = 0.304, fit time = 0.0, episode_time = 0.304
episode 34 of 100000 complete,  explore val = 0.01, episode reward = 345.3, ave reward = 345.3, sim time = 0.366, fit time = 0.0, episode_time = 0.366
episode 35 of 100000 complete,  explore val = 0.01, episode reward = 124.6, ave reward = 124.6, sim time = 0.257, fit time = 0.0, episode_time = 0.257
episode 36 of 100000 complete,  explore val = 0.01, episode reward = 13.9, ave reward = 13.9, sim time = 0.26, fit time = 0.0, episode_time = 0.26
episode 37 of 100000 complete,  explore val = 0.01, episode reward = 287.8, ave reward = 287.8, sim time = 0.367, fit time = 0.0, episode_time = 0.367
episode 38 of 100000 complete,  explore val = 0.01, episode reward = 57.7, ave reward = 57.7, sim time = 0.287, fit time = 0.0, episode_time = 0.287
episode 39 of 100000 complete,  explore val = 0.01, episode reward = 70.2, ave reward = 70.2, sim time = 0.24, fit time = 0.0, episode_time = 0.239
episode 40 of 100000 complete,  explore val = 0.01, episode reward = 70.2, ave reward = 70.2, sim time = 0.232, fit time = 0.0, episode_time = 0.232
episode 41 of 100000 complete,  explore val = 0.01, episode reward = 292.0, ave reward = 292.0, sim time = 0.354, fit time = 6.982, episode_time = 7.336
episode 42 of 100000 complete,  explore val = 0.01, episode reward = 222.7, ave reward = 222.7, sim time = 0.363, fit time = 0.0, episode_time = 0.363
episode 43 of 100000 complete,  explore val = 0.01, episode reward = 134.0, ave reward = 134.0, sim time = 0.235, fit time = 0.0, episode_time = 0.235
episode 44 of 100000 complete,  explore val = 0.01, episode reward = -63.0, ave reward = -63.0, sim time = 0.255, fit time = 0.0, episode_time = 0.255
episode 45 of 100000 complete,  explore val = 0.01, episode reward = 15.9, ave reward = 15.9, sim time = 0.234, fit time = 0.0, episode_time = 0.234
episode 46 of 100000 complete,  explore val = 0.01, episode reward = 83.0, ave reward = 83.0, sim time = 0.287, fit time = 0.0, episode_time = 0.287
episode 47 of 100000 complete,  explore val = 0.01, episode reward = -311.5, ave reward = -311.5, sim time = 0.251, fit time = 0.0, episode_time = 0.251
episode 48 of 100000 complete,  explore val = 0.01, episode reward = 43.4, ave reward = 43.4, sim time = 0.226, fit time = 0.0, episode_time = 0.226
episode 49 of 100000 complete,  explore val = 0.01, episode reward = 100.1, ave reward = 100.1, sim time = 0.24, fit time = 0.0, episode_time = 0.24
episode 50 of 100000 complete,  explore val = 0.01, episode reward = -11.2, ave reward = -11.2, sim time = 0.21, fit time = 0.0, episode_time = 0.21
episode 51 of 100000 complete,  explore val = 0.01, episode reward = 41.0, ave reward = 41.0, sim time = 0.242, fit time = 6.567, episode_time = 6.811
episode 52 of 100000 complete,  explore val = 0.01, episode reward = 198.4, ave reward = 198.4, sim time = 0.394, fit time = 0.0, episode_time = 0.394
episode 53 of 100000 complete,  explore val = 0.01, episode reward = -157.4, ave reward = -157.4, sim time = 0.195, fit time = 0.0, episode_time = 0.195
episode 54 of 100000 complete,  explore val = 0.01, episode reward = -96.1, ave reward = -96.1, sim time = 0.214, fit time = 0.0, episode_time = 0.214
episode 55 of 100000 complete,  explore val = 0.01, episode reward = 21.9, ave reward = 21.9, sim time = 0.258, fit time = 0.0, episode_time = 0.258
episode 56 of 100000 complete,  explore val = 0.01, episode reward = 53.9, ave reward = 53.9, sim time = 0.237, fit time = 0.0, episode_time = 0.237
episode 57 of 100000 complete,  explore val = 0.01, episode reward = 197.9, ave reward = 197.9, sim time = 0.312, fit time = 0.0, episode_time = 0.312
episode 58 of 100000 complete,  explore val = 0.01, episode reward = 81.6, ave reward = 81.6, sim time = 0.226, fit time = 0.0, episode_time = 0.226
episode 59 of 100000 complete,  explore val = 0.01, episode reward = -232.7, ave reward = -232.7, sim time = 0.222, fit time = 0.0, episode_time = 0.222
episode 60 of 100000 complete,  explore val = 0.01, episode reward = 120.3, ave reward = 120.3, sim time = 0.249, fit time = 0.0, episode_time = 0.249
episode 61 of 100000 complete,  explore val = 0.01, episode reward = 208.4, ave reward = 208.4, sim time = 0.335, fit time = 6.132, episode_time = 6.467
episode 62 of 100000 complete,  explore val = 0.01, episode reward = -97.4, ave reward = -97.4, sim time = 0.315, fit time = 0.0, episode_time = 0.315
episode 63 of 100000 complete,  explore val = 0.01, episode reward = -10.7, ave reward = -10.7, sim time = 0.252, fit time = 0.0, episode_time = 0.252
episode 64 of 100000 complete,  explore val = 0.01, episode reward = -61.3, ave reward = -61.3, sim time = 0.299, fit time = 0.0, episode_time = 0.299
episode 65 of 100000 complete,  explore val = 0.01, episode reward = -43.1, ave reward = -43.1, sim time = 0.257, fit time = 0.0, episode_time = 0.257
episode 66 of 100000 complete,  explore val = 0.01, episode reward = -207.0, ave reward = -207.0, sim time = 0.255, fit time = 0.0, episode_time = 0.255
episode 67 of 100000 complete,  explore val = 0.01, episode reward = 244.3, ave reward = 244.3, sim time = 0.312, fit time = 0.0, episode_time = 0.312
episode 68 of 100000 complete,  explore val = 0.01, episode reward = -121.2, ave reward = -121.2, sim time = 0.33, fit time = 0.0, episode_time = 0.33
episode 69 of 100000 complete,  explore val = 0.01, episode reward = 184.4, ave reward = 184.4, sim time = 0.299, fit time = 0.0, episode_time = 0.299
episode 70 of 100000 complete,  explore val = 0.01, episode reward = 31.1, ave reward = 31.1, sim time = 0.187, fit time = 0.0, episode_time = 0.187
episode 71 of 100000 complete,  explore val = 0.01, episode reward = 59.0, ave reward = 59.0, sim time = 0.206, fit time = 6.613, episode_time = 6.82
episode 72 of 100000 complete,  explore val = 0.01, episode reward = 17.3, ave reward = 17.3, sim time = 0.254, fit time = 0.0, episode_time = 0.254
episode 73 of 100000 complete,  explore val = 0.01, episode reward = 75.1, ave reward = 75.1, sim time = 0.196, fit time = 0.0, episode_time = 0.196
episode 74 of 100000 complete,  explore val = 0.01, episode reward = 21.8, ave reward = 21.8, sim time = 0.306, fit time = 0.0, episode_time = 0.306
episode 75 of 100000 complete,  explore val = 0.01, episode reward = 90.5, ave reward = 90.5, sim time = 0.215, fit time = 0.0, episode_time = 0.215
episode 76 of 100000 complete,  explore val = 0.01, episode reward = -6.7, ave reward = -6.7, sim time = 0.263, fit time = 0.0, episode_time = 0.263
episode 77 of 100000 complete,  explore val = 0.01, episode reward = 100.4, ave reward = 100.4, sim time = 0.25, fit time = 0.0, episode_time = 0.25
episode 78 of 100000 complete,  explore val = 0.01, episode reward = 133.0, ave reward = 133.0, sim time = 0.3, fit time = 0.0, episode_time = 0.3
episode 79 of 100000 complete,  explore val = 0.01, episode reward = 21.3, ave reward = 21.3, sim time = 0.207, fit time = 0.0, episode_time = 0.207
episode 80 of 100000 complete,  explore val = 0.01, episode reward = 255.4, ave reward = 255.4, sim time = 0.32, fit time = 0.0, episode_time = 0.32
episode 81 of 100000 complete,  explore val = 0.01, episode reward = -218.9, ave reward = -218.9, sim time = 0.202, fit time = 6.183, episode_time = 6.386
episode 82 of 100000 complete,  explore val = 0.01, episode reward = 67.9, ave reward = 67.9, sim time = 0.226, fit time = 0.0, episode_time = 0.226
episode 83 of 100000 complete,  explore val = 0.01, episode reward = 154.9, ave reward = 154.9, sim time = 0.233, fit time = 0.0, episode_time = 0.233
episode 84 of 100000 complete,  explore val = 0.01, episode reward = -58.6, ave reward = -58.6, sim time = 0.191, fit time = 0.0, episode_time = 0.191
episode 85 of 100000 complete,  explore val = 0.01, episode reward = 14.8, ave reward = 14.8, sim time = 0.277, fit time = 0.0, episode_time = 0.277
episode 86 of 100000 complete,  explore val = 0.01, episode reward = -14.8, ave reward = -14.8, sim time = 0.213, fit time = 0.0, episode_time = 0.213
episode 87 of 100000 complete,  explore val = 0.01, episode reward = 7.4, ave reward = 7.4, sim time = 0.226, fit time = 0.0, episode_time = 0.226
episode 88 of 100000 complete,  explore val = 0.01, episode reward = 157.2, ave reward = 157.2, sim time = 0.282, fit time = 0.0, episode_time = 0.282
episode 89 of 100000 complete,  explore val = 0.01, episode reward = -81.7, ave reward = -81.7, sim time = 0.225, fit time = 0.0, episode_time = 0.225
episode 90 of 100000 complete,  explore val = 0.01, episode reward = 66.4, ave reward = 66.4, sim time = 0.272, fit time = 0.0, episode_time = 0.272
episode 91 of 100000 complete,  explore val = 0.01, episode reward = 137.2, ave reward = 137.2, sim time = 0.269, fit time = 6.01, episode_time = 6.279
episode 92 of 100000 complete,  explore val = 0.01, episode reward = 34.5, ave reward = 34.5, sim time = 0.275, fit time = 0.0, episode_time = 0.275
episode 93 of 100000 complete,  explore val = 0.01, episode reward = -87.5, ave reward = -87.5, sim time = 0.246, fit time = 0.0, episode_time = 0.246
episode 94 of 100000 complete,  explore val = 0.01, episode reward = 48.8, ave reward = 48.8, sim time = 0.217, fit time = 0.0, episode_time = 0.217
episode 95 of 100000 complete,  explore val = 0.01, episode reward = 254.9, ave reward = 254.9, sim time = 0.329, fit time = 0.0, episode_time = 0.329
episode 96 of 100000 complete,  explore val = 0.01, episode reward = -70.7, ave reward = -70.7, sim time = 0.163, fit time = 0.0, episode_time = 0.163
episode 97 of 100000 complete,  explore val = 0.01, episode reward = 44.1, ave reward = 44.1, sim time = 0.289, fit time = 0.0, episode_time = 0.289
episode 98 of 100000 complete,  explore val = 0.01, episode reward = 45.0, ave reward = 45.0, sim time = 0.311, fit time = 0.0, episode_time = 0.311
episode 99 of 100000 complete,  explore val = 0.01, episode reward = 108.7, ave reward = 108.7, sim time = 0.237, fit time = 0.0, episode_time = 0.237
episode 100 of 100000 complete,  explore val = 0.01, episode reward = -31.3, ave reward = -31.3, sim time = 0.187, fit time = 0.0, episode_time = 0.187
episode 101 of 100000 complete,  explore val = 0.01, episode reward = -41.3, ave reward = 49.0, sim time = 0.288, fit time = 6.226, episode_time = 6.515
episode 102 of 100000 complete,  explore val = 0.01, episode reward = -10.4, ave reward = 47.3, sim time = 0.267, fit time = 0.0, episode_time = 0.267
episode 103 of 100000 complete,  explore val = 0.01, episode reward = -66.7, ave reward = 43.0, sim time = 0.238, fit time = 0.0, episode_time = 0.238
episode 104 of 100000 complete,  explore val = 0.01, episode reward = 95.6, ave reward = 41.6, sim time = 0.211, fit time = 0.0, episode_time = 0.211
episode 105 of 100000 complete,  explore val = 0.01, episode reward = 144.1, ave reward = 40.3, sim time = 0.26, fit time = 0.0, episode_time = 0.26
episode 106 of 100000 complete,  explore val = 0.01, episode reward = -159.0, ave reward = 40.5, sim time = 0.29, fit time = 0.0, episode_time = 0.29
episode 107 of 100000 complete,  explore val = 0.01, episode reward = -9.8, ave reward = 37.2, sim time = 0.181, fit time = 0.0, episode_time = 0.181
episode 108 of 100000 complete,  explore val = 0.01, episode reward = 58.4, ave reward = 35.4, sim time = 0.211, fit time = 0.0, episode_time = 0.211
episode 109 of 100000 complete,  explore val = 0.01, episode reward = -72.5, ave reward = 35.4, sim time = 0.209, fit time = 0.0, episode_time = 0.209
episode 110 of 100000 complete,  explore val = 0.01, episode reward = 74.6, ave reward = 34.2, sim time = 0.278, fit time = 0.0, episode_time = 0.279
episode 111 of 100000 complete,  explore val = 0.01, episode reward = 103.9, ave reward = 37.0, sim time = 0.206, fit time = 5.95, episode_time = 6.157
episode 112 of 100000 complete,  explore val = 0.01, episode reward = -265.3, ave reward = 39.6, sim time = 0.317, fit time = 0.0, episode_time = 0.317
episode 113 of 100000 complete,  explore val = 0.01, episode reward = -49.6, ave reward = 34.7, sim time = 0.249, fit time = 0.0, episode_time = 0.249
episode 114 of 100000 complete,  explore val = 0.01, episode reward = 121.2, ave reward = 36.7, sim time = 0.308, fit time = 0.0, episode_time = 0.308
episode 115 of 100000 complete,  explore val = 0.01, episode reward = -40.3, ave reward = 38.7, sim time = 0.255, fit time = 0.0, episode_time = 0.255
episode 116 of 100000 complete,  explore val = 0.01, episode reward = 72.0, ave reward = 39.9, sim time = 0.226, fit time = 0.0, episode_time = 0.226
episode 117 of 100000 complete,  explore val = 0.01, episode reward = 122.6, ave reward = 38.1, sim time = 0.354, fit time = 0.0, episode_time = 0.354
episode 118 of 100000 complete,  explore val = 0.01, episode reward = 59.7, ave reward = 37.7, sim time = 0.232, fit time = 0.0, episode_time = 0.232
episode 119 of 100000 complete,  explore val = 0.01, episode reward = 33.6, ave reward = 40.7, sim time = 0.216, fit time = 0.0, episode_time = 0.216
episode 120 of 100000 complete,  explore val = 0.01, episode reward = 205.3, ave reward = 40.4, sim time = 0.313, fit time = 0.0, episode_time = 0.313
episode 121 of 100000 complete,  explore val = 0.01, episode reward = 97.1, ave reward = 41.9, sim time = 0.274, fit time = 6.14, episode_time = 6.414
episode 122 of 100000 complete,  explore val = 0.01, episode reward = -177.1, ave reward = 41.5, sim time = 0.278, fit time = 0.0, episode_time = 0.278
episode 123 of 100000 complete,  explore val = 0.01, episode reward = -103.1, ave reward = 39.6, sim time = 0.196, fit time = 0.0, episode_time = 0.196
episode 124 of 100000 complete,  explore val = 0.01, episode reward = 192.2, ave reward = 37.8, sim time = 0.297, fit time = 0.0, episode_time = 0.296
episode 125 of 100000 complete,  explore val = 0.01, episode reward = 95.9, ave reward = 39.7, sim time = 0.292, fit time = 0.0, episode_time = 0.292
episode 126 of 100000 complete,  explore val = 0.01, episode reward = 41.1, ave reward = 39.9, sim time = 0.258, fit time = 0.0, episode_time = 0.258
episode 127 of 100000 complete,  explore val = 0.01, episode reward = 93.3, ave reward = 39.6, sim time = 0.244, fit time = 0.0, episode_time = 0.244
episode 128 of 100000 complete,  explore val = 0.01, episode reward = 94.2, ave reward = 40.2, sim time = 0.269, fit time = 0.0, episode_time = 0.269
episode 129 of 100000 complete,  explore val = 0.01, episode reward = -236.7, ave reward = 41.8, sim time = 0.228, fit time = 0.0, episode_time = 0.228
episode 130 of 100000 complete,  explore val = 0.01, episode reward = -39.3, ave reward = 41.0, sim time = 0.173, fit time = 0.0, episode_time = 0.173
episode 131 of 100000 complete,  explore val = 0.01, episode reward = 108.7, ave reward = 37.6, sim time = 0.251, fit time = 6.337, episode_time = 6.588
episode 132 of 100000 complete,  explore val = 0.01, episode reward = -54.2, ave reward = 37.0, sim time = 0.229, fit time = 0.0, episode_time = 0.229
episode 133 of 100000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 35.3, sim time = 0.296, fit time = 0.001, episode_time = 0.297
episode 134 of 100000 complete,  explore val = 0.01, episode reward = -58.9, ave reward = 37.1, sim time = 0.236, fit time = 0.0, episode_time = 0.236
episode 135 of 100000 complete,  explore val = 0.01, episode reward = -137.5, ave reward = 33.0, sim time = 0.258, fit time = 0.0, episode_time = 0.259
episode 136 of 100000 complete,  explore val = 0.01, episode reward = 66.5, ave reward = 30.4, sim time = 0.287, fit time = 0.0, episode_time = 0.287
episode 137 of 100000 complete,  explore val = 0.01, episode reward = 60.9, ave reward = 30.9, sim time = 0.22, fit time = 0.0, episode_time = 0.22
episode 138 of 100000 complete,  explore val = 0.01, episode reward = 366.5, ave reward = 28.7, sim time = 0.377, fit time = 0.0, episode_time = 0.377
episode 139 of 100000 complete,  explore val = 0.01, episode reward = -138.9, ave reward = 31.8, sim time = 0.218, fit time = 0.0, episode_time = 0.218
episode 140 of 100000 complete,  explore val = 0.01, episode reward = 74.5, ave reward = 29.7, sim time = 0.203, fit time = 0.0, episode_time = 0.203
episode 141 of 100000 complete,  explore val = 0.01, episode reward = 73.2, ave reward = 29.7, sim time = 0.221, fit time = 6.049, episode_time = 6.27
episode 142 of 100000 complete,  explore val = 0.01, episode reward = 32.4, ave reward = 27.5, sim time = 0.214, fit time = 0.0, episode_time = 0.214
episode 143 of 100000 complete,  explore val = 0.01, episode reward = 101.7, ave reward = 25.6, sim time = 0.226, fit time = 0.0, episode_time = 0.226
episode 144 of 100000 complete,  explore val = 0.01, episode reward = 62.9, ave reward = 25.3, sim time = 0.275, fit time = 0.0, episode_time = 0.275
episode 145 of 100000 complete,  explore val = 0.01, episode reward = -158.5, ave reward = 26.6, sim time = 0.29, fit time = 0.0, episode_time = 0.29
episode 146 of 100000 complete,  explore val = 0.01, episode reward = 30.1, ave reward = 24.8, sim time = 0.23, fit time = 0.0, episode_time = 0.23
episode 147 of 100000 complete,  explore val = 0.01, episode reward = 117.5, ave reward = 24.3, sim time = 0.323, fit time = 0.0, episode_time = 0.323
episode 148 of 100000 complete,  explore val = 0.01, episode reward = 158.6, ave reward = 28.6, sim time = 0.277, fit time = 0.0, episode_time = 0.277
episode 149 of 100000 complete,  explore val = 0.01, episode reward = -134.7, ave reward = 29.7, sim time = 0.257, fit time = 0.0, episode_time = 0.257
episode 150 of 100000 complete,  explore val = 0.01, episode reward = 12.2, ave reward = 27.4, sim time = 0.258, fit time = 0.0, episode_time = 0.258
episode 151 of 100000 complete,  explore val = 0.01, episode reward = 224.9, ave reward = 27.6, sim time = 0.339, fit time = 6.414, episode_time = 6.754
episode 152 of 100000 complete,  explore val = 0.01, episode reward = 124.4, ave reward = 29.5, sim time = 0.304, fit time = 0.0, episode_time = 0.304
episode 153 of 100000 complete,  explore val = 0.01, episode reward = -33.7, ave reward = 28.7, sim time = 0.234, fit time = 0.0, episode_time = 0.234
episode 154 of 100000 complete,  explore val = 0.01, episode reward = 261.2, ave reward = 29.9, sim time = 0.354, fit time = 0.0, episode_time = 0.354
episode 155 of 100000 complete,  explore val = 0.01, episode reward = 37.1, ave reward = 33.5, sim time = 0.287, fit time = 0.0, episode_time = 0.287
episode 156 of 100000 complete,  explore val = 0.01, episode reward = 37.7, ave reward = 33.7, sim time = 0.249, fit time = 0.0, episode_time = 0.249
episode 157 of 100000 complete,  explore val = 0.01, episode reward = 230.1, ave reward = 33.5, sim time = 0.325, fit time = 0.0, episode_time = 0.324
episode 158 of 100000 complete,  explore val = 0.01, episode reward = 127.5, ave reward = 33.8, sim time = 0.301, fit time = 0.0, episode_time = 0.301
episode 159 of 100000 complete,  explore val = 0.01, episode reward = -212.4, ave reward = 34.3, sim time = 0.266, fit time = 0.0, episode_time = 0.266
episode 160 of 100000 complete,  explore val = 0.01, episode reward = -112.8, ave reward = 34.5, sim time = 0.237, fit time = 0.0, episode_time = 0.237
episode 161 of 100000 complete,  explore val = 0.01, episode reward = 129.2, ave reward = 32.2, sim time = 0.347, fit time = 7.087, episode_time = 7.434
episode 162 of 100000 complete,  explore val = 0.01, episode reward = 279.2, ave reward = 31.4, sim time = 0.376, fit time = 0.0, episode_time = 0.377
episode 163 of 100000 complete,  explore val = 0.01, episode reward = 57.4, ave reward = 35.1, sim time = 0.224, fit time = 0.0, episode_time = 0.224
episode 164 of 100000 complete,  explore val = 0.01, episode reward = 23.7, ave reward = 35.8, sim time = 0.245, fit time = 0.0, episode_time = 0.245
episode 165 of 100000 complete,  explore val = 0.01, episode reward = 134.9, ave reward = 36.7, sim time = 0.275, fit time = 0.0, episode_time = 0.275
episode 166 of 100000 complete,  explore val = 0.01, episode reward = 61.0, ave reward = 38.5, sim time = 0.249, fit time = 0.0, episode_time = 0.249
episode 167 of 100000 complete,  explore val = 0.01, episode reward = 75.4, ave reward = 41.1, sim time = 0.214, fit time = 0.0, episode_time = 0.214
episode 168 of 100000 complete,  explore val = 0.01, episode reward = -36.2, ave reward = 39.4, sim time = 0.187, fit time = 0.0, episode_time = 0.187
episode 169 of 100000 complete,  explore val = 0.01, episode reward = -74.0, ave reward = 40.3, sim time = 0.162, fit time = 0.0, episode_time = 0.162
episode 170 of 100000 complete,  explore val = 0.01, episode reward = -121.8, ave reward = 37.7, sim time = 0.21, fit time = 0.0, episode_time = 0.21
episode 171 of 100000 complete,  explore val = 0.01, episode reward = 30.1, ave reward = 36.2, sim time = 0.24, fit time = 6.249, episode_time = 6.49
episode 172 of 100000 complete,  explore val = 0.01, episode reward = -251.5, ave reward = 35.9, sim time = 0.216, fit time = 0.0, episode_time = 0.215
episode 173 of 100000 complete,  explore val = 0.01, episode reward = 28.4, ave reward = 33.2, sim time = 0.273, fit time = 0.0, episode_time = 0.273
episode 174 of 100000 complete,  explore val = 0.01, episode reward = 260.9, ave reward = 32.7, sim time = 0.347, fit time = 0.0, episode_time = 0.347
episode 175 of 100000 complete,  explore val = 0.01, episode reward = 135.6, ave reward = 35.1, sim time = 0.267, fit time = 0.0, episode_time = 0.267
episode 176 of 100000 complete,  explore val = 0.01, episode reward = 49.7, ave reward = 35.6, sim time = 0.265, fit time = 0.0, episode_time = 0.265
episode 177 of 100000 complete,  explore val = 0.01, episode reward = 61.0, ave reward = 36.1, sim time = 0.205, fit time = 0.0, episode_time = 0.205
episode 178 of 100000 complete,  explore val = 0.01, episode reward = 250.1, ave reward = 35.7, sim time = 0.355, fit time = 0.0, episode_time = 0.355
episode 179 of 100000 complete,  explore val = 0.01, episode reward = 121.9, ave reward = 36.9, sim time = 0.277, fit time = 0.0, episode_time = 0.277
episode 180 of 100000 complete,  explore val = 0.01, episode reward = -51.8, ave reward = 37.9, sim time = 0.353, fit time = 0.0, episode_time = 0.353
episode 181 of 100000 complete,  explore val = 0.01, episode reward = -4.5, ave reward = 34.9, sim time = 0.243, fit time = 6.202, episode_time = 6.446
episode 182 of 100000 complete,  explore val = 0.01, episode reward = 329.5, ave reward = 37.0, sim time = 0.381, fit time = 0.0, episode_time = 0.381
episode 183 of 100000 complete,  explore val = 0.01, episode reward = 91.9, ave reward = 39.6, sim time = 0.296, fit time = 0.0, episode_time = 0.296
episode 184 of 100000 complete,  explore val = 0.01, episode reward = 66.9, ave reward = 39.0, sim time = 0.204, fit time = 0.0, episode_time = 0.204
episode 185 of 100000 complete,  explore val = 0.01, episode reward = 80.0, ave reward = 40.2, sim time = 0.223, fit time = 0.0, episode_time = 0.223
episode 186 of 100000 complete,  explore val = 0.01, episode reward = 275.8, ave reward = 40.9, sim time = 0.334, fit time = 0.0, episode_time = 0.334
episode 187 of 100000 complete,  explore val = 0.01, episode reward = -217.1, ave reward = 43.8, sim time = 0.268, fit time = 0.0, episode_time = 0.269
episode 188 of 100000 complete,  explore val = 0.01, episode reward = -47.4, ave reward = 41.5, sim time = 0.251, fit time = 0.0, episode_time = 0.251
episode 189 of 100000 complete,  explore val = 0.01, episode reward = 12.3, ave reward = 39.5, sim time = 0.288, fit time = 0.0, episode_time = 0.288
episode 190 of 100000 complete,  explore val = 0.01, episode reward = 221.1, ave reward = 40.4, sim time = 0.427, fit time = 0.0, episode_time = 0.427
episode 191 of 100000 complete,  explore val = 0.01, episode reward = 131.6, ave reward = 42.0, sim time = 0.282, fit time = 7.13, episode_time = 7.412
episode 192 of 100000 complete,  explore val = 0.01, episode reward = 106.4, ave reward = 41.9, sim time = 0.294, fit time = 0.0, episode_time = 0.294
episode 193 of 100000 complete,  explore val = 0.01, episode reward = -82.3, ave reward = 42.7, sim time = 0.22, fit time = 0.0, episode_time = 0.221
episode 194 of 100000 complete,  explore val = 0.01, episode reward = 28.5, ave reward = 42.7, sim time = 0.309, fit time = 0.0, episode_time = 0.309
episode 195 of 100000 complete,  explore val = 0.01, episode reward = 148.7, ave reward = 42.5, sim time = 0.272, fit time = 0.0, episode_time = 0.272
episode 196 of 100000 complete,  explore val = 0.01, episode reward = 13.6, ave reward = 41.4, sim time = 0.258, fit time = 0.0, episode_time = 0.258
